#LAMBDA	MINUS2 MINUS1 EXP PLUS1 PLUS2 OBS
-20.0000 2.1599 2.9739 4.2691 6.3301 9.2675 5.9216
-19.8039 2.1550 2.9689 4.2609 6.3193 9.2508 5.9104
-19.6078 2.1511 2.9643 4.2539 6.3099 9.2366 5.9008
-19.4118 2.1471 2.9592 4.2464 6.2992 9.2211 5.8905
-19.2157 2.1434 2.9538 4.2390 6.2884 9.2058 5.8802
-19.0196 2.1400 2.9486 4.2320 6.2779 9.1912 5.8705
-18.8235 2.1361 2.9427 4.2242 6.2661 9.1748 5.8596
-18.6275 2.1325 2.9370 4.2166 6.2546 9.1590 5.8491
-18.4314 2.1291 2.9316 4.2095 6.2438 9.1441 5.8391
-18.2353 2.1251 2.9253 4.2011 6.2312 9.1267 5.8275
-18.0392 2.1214 2.9196 4.1934 6.2197 9.1107 5.8169
-17.8431 2.1175 2.9138 4.1856 6.2080 9.0942 5.8059
-17.6471 2.1131 2.9076 4.1769 6.1953 9.0762 5.7940
-17.4510 2.1089 2.9017 4.1687 6.1832 9.0590 5.7825
-17.2549 2.1044 2.8953 4.1597 6.1702 9.0404 5.7702
-17.0588 2.0995 2.8886 4.1503 6.1563 9.0206 5.7571
-16.8627 2.0951 2.8823 4.1415 6.1435 9.0023 5.7450
-16.6667 2.0904 2.8757 4.1322 6.1299 8.9828 5.7321
-16.4706 2.0859 2.8693 4.1233 6.1168 8.9641 5.7197
-16.2745 2.0807 2.8621 4.1131 6.1019 8.9426 5.7056
-16.0784 2.0756 2.8552 4.1034 6.0878 8.9221 5.6922
-15.8824 2.0703 2.8481 4.0932 6.0731 8.9008 5.6781
-15.6863 2.0652 2.8413 4.0833 6.0588 8.8801 5.6645
-15.4902 2.0594 2.8336 4.0722 6.0429 8.8568 5.6492
-15.2941 2.0535 2.8260 4.0611 6.0268 8.8334 5.6338
-15.0980 2.0485 2.8192 4.0514 6.0129 8.8132 5.6205
-14.9020 2.0422 2.8107 4.0392 5.9951 8.7874 5.6036
-14.7059 2.0368 2.8031 4.0285 5.9794 8.7648 5.5887
-14.5098 2.0308 2.7946 4.0166 5.9619 8.7396 5.5722
-14.3137 2.0254 2.7870 4.0059 5.9462 8.7171 5.5574
-14.1176 2.0194 2.7786 3.9941 5.9288 8.6920 5.5411
-13.9216 2.0125 2.7692 3.9807 5.9092 8.6637 5.5226
-13.7255 2.0064 2.7609 3.9688 5.8917 8.6384 5.5061
-13.5294 1.9995 2.7515 3.9554 5.8722 8.6099 5.4876
-13.3333 1.9927 2.7424 3.9422 5.8530 8.5820 5.4694
-13.1373 1.9860 2.7335 3.9293 5.8343 8.5548 5.4517
-12.9412 1.9790 2.7242 3.9158 5.8147 8.5260 5.4330
-12.7451 1.9713 2.7139 3.9010 5.7932 8.4945 5.4126
-12.5490 1.9640 2.7041 3.8868 5.7725 8.4643 5.3930
-12.3529 1.9561 2.6933 3.8715 5.7500 8.4316 5.3718
-12.1569 1.9492 2.6835 3.8576 5.7295 8.4021 5.3526
-11.9608 1.9417 2.6727 3.8427 5.7072 8.3701 5.3318
-11.7647 1.9340 2.6613 3.8269 5.6836 8.3365 5.3100
-11.5686 1.9267 2.6502 3.8118 5.6607 8.3041 5.2890
-11.3725 1.9184 2.6380 3.7949 5.6353 8.2679 5.2655
-11.1765 1.9109 2.6271 3.7798 5.6127 8.2356 5.2446
-10.9804 1.9023 2.6151 3.7628 5.5875 8.1991 5.2210
-10.7843 1.8933 2.6029 3.7452 5.5618 8.1614 5.1967
-10.5882 1.8831 2.5895 3.7256 5.5332 8.1193 5.1696
-10.3922 1.8741 2.5776 3.7082 5.5079 8.0820 5.1455
-10.1961 1.8639 2.5641 3.6886 5.4793 8.0398 5.1184
-10.0000 1.8540 2.5506 3.6691 5.4507 7.9980 5.0915
-9.8039 1.8442 2.5370 3.6498 5.4221 7.9564 5.0647
-9.6078 1.8334 2.5216 3.6281 5.3898 7.9096 5.0347
-9.4118 1.8238 2.5080 3.6090 5.3612 7.8684 5.0081
-9.2157 1.8131 2.4928 3.5875 5.3292 7.8220 4.9784
-9.0196 1.8021 2.4771 3.5654 5.2962 7.7743 4.9477
-8.8235 1.7912 2.4620 3.5440 5.2644 7.7279 4.9180
-8.6275 1.7788 2.4449 3.5194 5.2281 7.6749 4.8840
-8.4314 1.7678 2.4298 3.4978 5.1962 7.6282 4.8541
-8.2353 1.7547 2.4117 3.4719 5.1578 7.5722 4.8183
-8.0392 1.7424 2.3948 3.4476 5.1219 7.5197 4.7847
-7.8431 1.7284 2.3753 3.4199 5.0807 7.4596 4.7463
-7.6471 1.7156 2.3575 3.3945 5.0429 7.4045 4.7111
-7.4510 1.7014 2.3380 3.3665 5.0015 7.3438 4.6724
-7.2549 1.6875 2.3193 3.3394 4.9616 7.2851 4.6349
-7.0588 1.6721 2.2990 3.3096 4.9181 7.2206 4.5938
-6.8627 1.6554 2.2775 3.2777 4.8717 7.1515 4.5497
-6.6667 1.6397 2.2574 3.2477 4.8283 7.0865 4.5084
-6.4706 1.6232 2.2357 3.2159 4.7817 7.0174 4.4643
-6.2745 1.6078 2.2143 3.1852 4.7361 6.9507 4.4218
-6.0784 1.5908 2.1890 3.1502 4.6830 6.8743 4.3731
-5.8824 1.5752 2.1638 3.1167 4.6308 6.8009 4.3263
-5.6863 1.5596 2.1373 3.0822 4.5762 6.7249 4.2778
-5.4902 1.5441 2.1112 3.0481 4.5225 6.6502 4.2301
-5.2941 1.5256 2.0821 3.0088 4.4617 6.5641 4.1752
-5.0980 1.5057 2.0533 2.9684 4.4009 6.4760 4.1192
-4.9020 1.4843 2.0253 2.9272 4.3405 6.3863 4.0622
-4.7059 1.4618 1.9979 2.8853 4.2806 6.2955 4.0046
-4.5098 1.4386 1.9707 2.8428 4.2207 6.2036 3.9464
-4.3137 1.4124 1.9393 2.7944 4.1518 6.0985 3.8798
-4.1176 1.3867 1.9076 2.7462 4.0825 5.9937 3.8134
-3.9216 1.3622 1.8759 2.6991 4.0139 5.8911 3.7484
-3.7255 1.3377 1.8423 2.6507 3.9421 5.7853 3.6813
-3.5294 1.3104 1.8041 2.5961 3.8604 5.6659 3.6056
-3.3333 1.2865 1.7700 2.5480 3.7880 5.5603 3.5387
-3.1373 1.2597 1.7320 2.4940 3.7071 5.4423 3.4638
-2.9412 1.2309 1.6918 2.4366 3.6212 5.3167 3.3841
-2.7451 1.1986 1.6472 2.3725 3.5257 5.1767 3.2952
-2.5490 1.1692 1.6070 2.3145 3.4395 5.0499 3.2149
-2.3529 1.1364 1.5622 2.2498 3.3435 4.9085 3.1252
-2.1569 1.1050 1.5193 2.1878 3.2515 4.7728 3.0393
-1.9608 1.0699 1.4713 2.1185 3.1487 4.6211 2.9434
-1.7647 1.0322 1.4195 2.0439 3.0379 4.4575 2.8399
-1.5686 0.9973 1.3717 1.9749 2.9356 4.3066 2.7443
-1.3725 0.9596 1.3204 1.9008 2.8257 4.1449 2.6414
-1.1765 0.9235 1.2715 1.8298 2.7208 3.9909 2.5431
-0.9804 0.8802 1.2132 1.7450 2.5954 3.8074 2.4255
-0.7843 0.8388 1.1577 1.6640 2.4760 3.6329 2.3132
-0.5882 0.7962 1.1004 1.5806 2.3528 3.4530 2.1976
-0.3922 0.7558 1.0457 1.5012 2.2353 3.2811 2.0874
-0.1961 0.7081 0.9806 1.4071 2.0955 3.0762 1.9568
0.0000 0.6666 0.9232 1.3246 1.9726 2.8954 1.8423
0.1961 0.6169 0.8540 1.2256 1.8248 2.6778 1.7047
0.3922 0.5748 0.7950 1.1413 1.6988 2.4921 1.5877
0.5882 0.5354 0.7399 1.0626 1.5811 2.3185 1.4782
0.7843 0.4880 0.6739 0.9681 1.4402 2.1112 1.3470
0.9804 0.4465 0.6163 0.8856 1.3172 1.9304 1.2323
1.1765 0.4061 0.5606 0.8055 1.1981 1.7556 1.1210
1.3725 0.3771 0.5206 0.7480 1.1127 1.6304 1.0413
1.5686 0.3393 0.4687 0.6733 1.0015 1.4673 0.9372
1.7647 0.3155 0.4359 0.6260 0.9312 1.3640 0.8715
1.9608 0.3071 0.4244 0.6093 0.9063 1.3271 0.8482
2.1569 0.2949 0.4077 0.5852 0.8701 1.2736 0.8144
2.3529 0.3101 0.4286 0.6151 0.9143 1.3377 0.8559
2.5490 0.3310 0.4575 0.6564 0.9754 1.4266 0.9132
2.7451 0.3950 0.5459 0.7832 1.1637 1.7016 1.0896
2.9412 0.4770 0.6593 0.9459 1.4053 2.0549 1.3160
3.1373 0.5676 0.7845 1.1257 1.6727 2.4464 1.5664
3.3333 0.7133 0.9859 1.4149 2.1030 3.0769 1.9693
3.5294 0.8871 1.2261 1.7598 2.6165 3.8298 2.4500
3.7255 1.1136 1.5393 2.2098 3.2865 4.8126 3.0769
3.9216 1.3499 1.8659 2.6791 3.9856 5.8385 3.7306
4.1176 1.6585 2.2925 3.2919 4.8981 7.1773 4.5835
4.3137 1.9599 2.7091 3.8904 5.7893 8.4847 5.4155
4.5098 2.2945 3.1715 4.5546 6.7781 9.9355 6.3377
4.7059 2.5998 3.5933 5.1606 7.6802 11.2594 7.1778
4.9020 2.9535 4.0820 5.8626 8.7254 12.7938 8.1504
5.0980 3.2642 4.5113 6.4796 9.6444 14.1446 9.0037
5.2941 3.5591 4.9186 7.0652 10.5173 15.4294 9.8127
5.4902 3.8351 5.2999 7.6137 11.3356 16.6355 10.5695
5.6863 4.0504 5.5970 8.0417 11.9748 17.5801 11.1583
5.8824 4.2739 5.9053 8.4860 12.6388 18.5618 11.7695
6.0784 4.4294 6.1193 8.7953 13.1019 19.2484 12.1934
6.2745 4.5711 6.3137 9.0767 13.5233 19.8733 12.5790
6.4706 4.6600 6.4337 9.2523 13.7863 20.2656 12.8180
6.6667 4.7503 6.5534 9.4293 14.0500 20.6602 13.0589
6.8627 4.8009 6.6146 9.5245 14.1897 20.8754 13.1862
7.0588 4.8457 6.6627 9.6045 14.3036 21.0573 13.2916
7.2549 4.8706 6.6780 9.6412 14.3493 21.1446 13.3360
7.4510 4.9006 6.6970 9.6852 14.4038 21.2490 13.3902
7.6471 4.9042 6.6805 9.6775 14.3812 21.2410 13.3731
7.8431 4.8893 6.6442 9.6370 14.3128 21.1629 13.3120
8.0392 4.8772 6.6231 9.6101 14.2709 21.1173 13.2723
8.2353 4.8424 6.5864 9.5494 14.1877 20.9999 13.1892
8.4314 4.8077 6.5626 9.4978 14.1256 20.9041 13.1217
8.6275 4.7524 6.5185 9.4112 14.0158 20.7304 13.0077
8.8235 4.7014 6.4813 9.3338 13.9202 20.5736 12.9070
9.0196 4.6572 6.4459 9.2645 13.8323 20.4283 12.8164
9.2157 4.6105 6.3921 9.1795 13.7123 20.2393 12.7012
9.4118 4.5748 6.3395 9.1064 13.6019 20.0688 12.6000
9.6078 4.5447 6.2843 9.0369 13.4909 19.9011 12.5019
9.8039 4.5203 6.2312 8.9745 13.3873 19.7473 12.4127
10.0000 4.4893 6.1697 8.8996 13.2650 19.5680 12.3061
10.1961 4.4571 6.1128 8.8267 13.1490 19.3990 12.2034
10.3922 4.4240 6.0612 8.7567 13.0411 19.2424 12.1059
10.5882 4.3900 6.0134 8.6884 12.9385 19.0940 12.0116
10.7843 4.3504 5.9611 8.6113 12.8245 18.9290 11.9057
10.9804 4.3186 5.9201 8.5500 12.7344 18.7992 11.8217
11.1765 4.2843 5.8740 8.4825 12.6339 18.6537 11.7287
11.3725 4.2511 5.8275 8.4160 12.5339 18.5082 11.6367
11.5686 4.2226 5.7862 8.3577 12.4455 18.3789 11.5559
11.7647 4.1907 5.7402 8.2927 12.3470 18.2332 11.4657
11.9608 4.1616 5.6988 8.2340 12.2581 18.1003 11.3843
12.1569 4.1308 5.6570 8.1730 12.1673 17.9623 11.3004
12.3529 4.1032 5.6218 8.1201 12.0896 17.8423 11.2281
12.5490 4.0740 5.5862 8.0652 12.0100 17.7187 11.1534
12.7451 4.0434 5.5500 8.0085 11.9285 17.5925 11.0765
12.9412 4.0150 5.5177 7.9568 11.8548 17.4791 11.0065
13.1373 3.9849 5.4832 7.9018 11.7762 17.3613 10.9319
13.3333 3.9589 5.4544 7.8550 11.7097 17.2637 10.8683
13.5294 3.9318 5.4234 7.8055 11.6389 17.1617 10.8010
13.7255 3.9057 5.3929 7.7573 11.5694 17.0625 10.7352
13.9216 3.8792 5.3607 7.7075 11.4969 16.9587 10.6669
14.1176 3.8577 5.3337 7.6665 11.4367 16.8716 10.6107
14.3137 3.8358 5.3043 7.6233 11.3723 16.7769 10.5513
14.5098 3.8154 5.2760 7.5825 11.3109 16.6851 10.4949
14.7059 3.7967 5.2497 7.5448 11.2539 16.5993 10.4430
14.9020 3.7791 5.2250 7.5093 11.2003 16.5184 10.3940
15.0980 3.7594 5.1984 7.4705 11.1422 16.4313 10.3405
15.2941 3.7402 5.1735 7.4331 11.0870 16.3492 10.2893
15.4902 3.7220 5.1502 7.3981 11.0352 16.2727 10.2412
15.6863 3.7049 5.1278 7.3648 10.9857 16.1996 10.1954
15.8824 3.6878 5.1037 7.3301 10.9332 16.1218 10.1475
16.0784 3.6751 5.0828 7.3023 10.8894 16.0562 10.1088
16.2745 3.6633 5.0602 7.2741 10.8432 15.9862 10.0690
16.4706 3.6528 5.0374 7.2472 10.7979 15.9168 10.0308
16.6667 3.6444 5.0166 7.2237 10.7572 15.8540 9.9972
16.8627 3.6347 4.9945 7.1979 10.7135 15.7870 9.9606
17.0588 3.6236 4.9727 7.1710 10.6692 15.7197 9.9226
17.2549 3.6123 4.9535 7.1458 10.6290 15.6593 9.8873
17.4510 3.6005 4.9362 7.1214 10.5915 15.6035 9.8536
17.6471 3.5873 4.9188 7.0955 10.5528 15.5463 9.8180
17.8431 3.5732 4.9013 7.0686 10.5132 15.4879 9.7812
18.0392 3.5600 4.8853 7.0437 10.4768 15.4340 9.7472
18.2353 3.5466 4.8685 7.0181 10.4390 15.3775 9.7121
18.4314 3.5339 4.8521 6.9934 10.4023 15.3222 9.6783
18.6275 3.5231 4.8377 6.9720 10.3703 15.2735 9.6490
18.8235 3.5113 4.8215 6.9485 10.3347 15.2191 9.6166
19.0196 3.5011 4.8068 6.9275 10.3025 15.1697 9.5877
19.2157 3.4920 4.7931 6.9083 10.2728 15.1236 9.5612
19.4118 3.4820 4.7782 6.8874 10.2406 15.0742 9.5323
19.6078 3.4722 4.7643 6.8675 10.2103 15.0281 9.5049
19.8039 3.4619 4.7511 6.8476 10.1805 14.9837 9.4775
20.0000 3.4496 4.7372 6.8251 10.1482 14.9371 9.4469
