#LAMBDA	MINUS1 EXP PLUS1
-20.0000 0.4905 4.5781 0.4896
-19.8039 0.4804 4.4979 0.4805
-19.6078 0.4723 4.4196 0.4723
-19.4118 0.4641 4.3413 0.4641
-19.2157 0.4558 4.2637 0.4558
-19.0196 0.4476 4.1872 0.4476
-18.8235 0.4394 4.1106 0.4394
-18.6275 0.4311 4.0351 0.4311
-18.4314 0.4232 3.9609 0.4232
-18.2353 0.4158 3.8864 0.4158
-18.0392 0.4073 3.8133 0.4073
-17.8431 0.3996 3.7410 0.3996
-17.6471 0.3920 3.6689 0.3920
-17.4510 0.3846 3.5979 0.3846
-17.2549 0.3769 3.5273 0.3769
-17.0588 0.3692 3.4571 0.3692
-16.8627 0.3619 3.3883 0.3619
-16.6667 0.3546 3.3198 0.3546
-16.4706 0.3473 3.2525 0.3473
-16.2745 0.3399 3.1851 0.3399
-16.0784 0.3337 3.1189 0.3337
-15.8824 0.3264 3.0533 0.3264
-15.6863 0.3190 2.9887 0.3190
-15.4902 0.3128 2.9241 0.3128
-15.2941 0.3055 2.8604 0.3055
-15.0980 0.2991 2.7984 0.2991
-14.9020 0.2927 2.7356 0.2927
-14.7059 0.2854 2.6746 0.2854
-14.5098 0.2790 2.6136 0.2790
-14.3137 0.2727 2.5542 0.2727
-14.1176 0.2663 2.4950 0.2663
-13.9216 0.2600 2.4357 0.2600
-13.7255 0.2544 2.3782 0.2544
-13.5294 0.2478 2.3207 0.2478
-13.3333 0.2418 2.2642 0.2418
-13.1373 0.2361 2.2087 0.2361
-12.9412 0.2301 2.1538 0.2301
-12.7451 0.2242 2.0990 0.2242
-12.5490 0.2188 2.0454 0.2188
-12.3529 0.2134 1.9920 0.2134
-12.1569 0.2068 1.9402 0.2068
-11.9608 0.2014 1.8887 0.2014
-11.7647 0.1959 1.8376 0.1959
-11.5686 0.1915 1.7876 0.1915
-11.3725 0.1860 1.7377 0.1860
-11.1765 0.1805 1.6896 0.1805
-10.9804 0.1752 1.6415 0.1752
-10.7843 0.1705 1.5941 0.1705
-10.5882 0.1651 1.5468 0.1651
-10.3922 0.1605 1.5013 0.1605
-10.1961 0.1560 1.4558 0.1560
-10.0000 0.1505 1.4112 0.1505
-9.8039 0.1459 1.3674 0.1459
-9.6078 0.1414 1.3237 0.1414
-9.4118 0.1369 1.2818 0.1369
-9.2157 0.1323 1.2399 0.1323
-9.0196 0.1278 1.1987 0.1278
-8.8235 0.1241 1.1586 0.1241
-8.6275 0.1193 1.1185 0.1193
-8.4314 0.1151 1.0802 0.1151
-8.2353 0.1112 1.0414 0.1112
-8.0392 0.1077 1.0041 0.1077
-7.8431 0.1029 0.9667 0.1029
