#M(0=SM) ACC ACCB DEN DENB NUM NUMB
0 0.00089 0.00059 3799.94000 3799.94000 3.37006 2.24874
260 0.00000 0.00000 4400.51000 4400.51000 0.00000 0.00000
300 0.00007 0.00007 4399.47000 4399.47000 0.30312 0.29942
400 0.00257 0.00168 4400.41000 4400.41000 11.32760 7.40909
500 0.00543 0.00347 4401.75000 4401.75000 23.89350 15.28160
600 0.00819 0.00539 4397.73000 4397.73000 36.01470 23.71510
700 0.01121 0.00760 4400.20000 4400.20000 49.32720 33.44340
750 0.01152 0.00806 4400.70000 4400.70000 50.68520 35.47640
800 0.01322 0.00899 4402.32000 4402.32000 58.21260 39.57460
900 0.01481 0.00992 4401.29000 4401.29000 65.17070 43.67090
1000 0.01596 0.01090 8801.71000 8801.71000 140.44200 95.92480
1000 0.01596 0.01090 8801.71000 8801.71000 140.44200 95.92480
1000 0.01596 0.01090 8801.71000 8801.71000 140.44200 95.92480
