#M(0=SM) ACC ACCB DEN DENB NUM NUMB
0 0.00089 0.00059 1371.75000 1371.75000 1.21659 0.81372
260 0.00000 0.00000 1588.50000 1588.50000 0.00000 0.00000
300 0.00007 0.00007 1588.55000 1588.55000 0.10943 0.10648
400 0.00257 0.00169 1589.03000 1589.03000 4.08925 2.68654
500 0.00543 0.00335 1587.86000 1587.86000 8.62557 5.32410
600 0.00819 0.00546 1586.59000 1586.59000 13.00130 8.66134
700 0.01122 0.00731 1587.50000 1587.50000 17.80710 11.60170
750 0.01152 0.00788 1588.76000 1588.76000 18.29730 12.52340
800 0.01323 0.00904 1588.96000 1588.96000 21.01470 14.35790
900 0.01481 0.01000 1588.44000 1588.44000 23.52670 15.89220
1000 0.01595 0.01107 1588.91000 1588.91000 25.34990 17.59310
