#M xsecVis(/fb) S95 UP DN
0 0.18 6.5 3.2 2.1
260 1.65 55.1 17.7 14.1
300 4.29 143.1 41.8 34.2
400 5.0 169.9 44.4 37.8
500 1.39 47.8 16.1 12.3
600 0.66 23.9 8.5 5.9
700 0.31 11.2 4.8 3.4
750 0.26 9.6 3.6 2.9
800 0.24 8.6 4.0 2.6
900 0.19 6.9 3.5 2.0





#0 0.18  6.7 3.3 1.4
#260 1.13    33.4    12 8.3
#300 2.07    53.2 20.7 15.6
#400 1.90    43.7    19.8    6.8
#500 0.89    29.6    11.2    8.9
#600 0.60    21.6    8.7 5.9
#700 0.36    12.9    4.3 4.8
#750 0.29    10.6    4.7 2.5
#800 0.28    10.2    3.6 4.1
#900 0.23    8.4 1.9 5.7
#1000 0.15   5.4 2.8 1.3
