#M(0=SM) ACC ACCB DEN DENB NUM NUMB
0 0.00089 0.00053 7599.87000 7599.87000 6.74012 4.03758
260 0.00000 0.00000 8801.03000 8801.03000 0.00000 0.00000
300 0.00007 0.00000 8798.95000 8798.95000 0.60624 0.02342
400 0.00257 0.00156 8800.82000 8800.82000 22.65510 13.75080
500 0.00543 0.00394 8803.50000 8803.50000 47.78700 34.68350
600 0.00819 0.00540 8795.47000 8795.47000 72.02940 47.52330
700 0.01121 0.00733 8800.41000 8800.41000 98.65430 64.50210
750 0.01152 0.00801 8801.39000 8801.39000 101.37000 70.50230
800 0.01322 0.00904 8804.63000 8804.63000 116.42500 79.55000
900 0.01481 0.00973 8802.59000 8802.59000 130.34100 85.65070
1000 0.01596 0.01090 8801.71000 8801.71000 140.44200 95.92480
